ip_adress;date_time;site_status_code;site;browser_raw
209.160.24.63;03/Mar/2016 18:22:16;200;http://www.google.com;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:16;200;http://www.exploratorystore.io/oldlink?itemId=EST-6;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:17;200;http://www.exploratorystore.io/product.screen?productId=BS-AG-G09;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:19;200;http://www.exploratorystore.io/cart.do?action=remove&itemId=EST-7&productId=PZ-SG-G05;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:20;200;http://www.exploratorystore.io/category.screen?categoryId=STRATEGY;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:20;200;http://www.exploratorystore.io/product.screen?productId=FS-SG-G03;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:21;200;http://www.exploratorystore.io/cart.do?action=addtocart&itemId=EST-21&categoryId=STRATEGY&productId=FS-SG-G03;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:22;200;http://www.exploratorystore.io/cart.do?action=purchase&itemId=EST-21;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:21;200;http://www.exploratorystore.io/oldlink?itemId=EST-11;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
209.160.24.63;03/Mar/2016 18:22:22;200;http://www.exploratorystore.io/cart.do?action=addtocart&itemId=EST-14&productId=WC-SH-A01;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
112.111.162.4;03/Mar/2016 18:26:36;200;http://www.exploratorystore.io/category.screen?categoryId=SHOOTER;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
112.111.162.4;03/Mar/2016 18:26:37;200;http://www.exploratorystore.io/product.screen?productId=WC-SH-G04;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
112.111.162.4;03/Mar/2016 18:26:38;200;http://www.exploratorystore.io/cart.do?action=addtocart&itemId=EST-18&categoryId=SHOOTER&productId=WC-SH-G04;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
112.111.162.4;03/Mar/2016 18:26:38;200;http://www.exploratorystore.io/cart.do?action=purchase&itemId=EST-18;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
112.111.162.4;03/Mar/2016 18:26:37;505;http://www.exploratorystore.io/category.screen?categoryId=NULL;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
112.111.162.4;03/Mar/2016 18:26:38;503;http://www.exploratorystore.io/category.screen?categoryId=NULL;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
74.125.19.106;03/Mar/2016 18:32:15;200;http://www.exploratorystore.io;"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.8.1.6) Gecko/20070725 Firefox/2.0.0.6"
74.125.19.106;03/Mar/2016 18:32:15;503;http://www.exploratorystore.io/oldlink?itemId=EST-13;"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.8.1.6) Gecko/20070725 Firefox/2.0.0.6"
117.21.246.164;03/Mar/2016 18:36:02;200;http://www.exploratorystore.io;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:03;200;http://www.exploratorystore.io/cart.do?action=addtocart&itemId=EST-27&productId=DC-SG-G02;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:03;200;http://www.exploratorystore.io/oldlink?itemId=EST-26;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:03;200;http://www.exploratorystore.io/product.screen?productId=DB-SG-G01;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:05;200;http://www.exploratorystore.io/cart.do?action=view&itemId=EST-7&productId=DB-SG-G01;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:06;200;http://www.exploratorystore.io/oldlink?itemId=EST-7;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:07;200;http://www.exploratorystore.io/oldlink?itemId=EST-17;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:07;200;http://www.exploratorystore.io/cart.do?action=remove&itemId=EST-13&productId=FI-AG-G08;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:07;505;http://www.exploratorystore.io/oldlink?itemId=EST-27;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:08;200;http://www.exploratorystore.io/product.screen?productId=WC-SH-G04;Googlebot/2.1 (http://www.googlebot.com/bot.html)
117.21.246.164;03/Mar/2016 18:36:08;200;http://www.exploratorystore.io/oldlink?itemId=EST-15;Googlebot/2.1 (http://www.googlebot.com/bot.html)
91.205.189.27;03/Mar/2016 18:46:23;200;http://www.exploratorystore.io/category.screen?categoryId=SPORTS;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
91.205.189.27;03/Mar/2016 18:46:24;200;http://www.exploratorystore.io/product.screen?productId=CU-PG-G06;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
91.205.189.27;03/Mar/2016 18:46:25;200;http://www.exploratorystore.io/cart.do?action=addtocart&itemId=EST-12&categoryId=SPORTS&productId=CU-PG-G06;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
91.205.189.27;03/Mar/2016 18:46:25;200;http://www.exploratorystore.io/cart.do?action=purchase&itemId=EST-12;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
91.205.189.27;03/Mar/2016 18:46:24;200;http://www.exploratorystore.io/category.screen?categoryId=TEE;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
91.205.189.27;03/Mar/2016 18:46:24;200;http://www.exploratorystore.io/category.screen?categoryId=STRATEGY;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
195.80.144.22;03/Mar/2016 18:48:36;200;http://www.bing.com;"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
